MariaDB [kokiri_apr23]> select distinct revision, branch from test_run where length(revision)<6 order by 2,1;
+----------+---------------------------------+
| revision | branch                          |
| 3676     | 10.0-base                       |
| 3677     | 10.0-base                       |
| 3678     | 10.0-base                       |
| 3679     | 10.0-base                       |
| 3680     | 10.0-base                       |
| 3681     | 10.0-base                       |
| 3682     | 10.0-base                       |
| 3683     | 10.0-base                       |
| 3684     | 10.0-base                       |
| 3685     | 10.0-base                       |
| 3687     | 10.0-base                       |
| 3688     | 10.0-base                       |
| 3689     | 10.0-base                       |
| 3690     | 10.0-base                       |
| 3691     | 10.0-base                       |
| 3692     | 10.0-base                       |
| 3693     | 10.0-base                       |
| 3694     | 10.0-base                       |
| 3695     | 10.0-base                       |
| 3709     | 10.0-base                       |
| 3716     | 10.0-base                       |
| 3717     | 10.0-base                       |
| 3718     | 10.0-base                       |
| 3719     | 10.0-base                       |
| 3720     | 10.0-base                       |
| 3721     | 10.0-base                       |
| 3722     | 10.0-base                       |
| 3724     | 10.0-base                       |
| 3726     | 10.0-base                       |
| 3732     | 10.0-base                       |
| 3733     | 10.0-base                       |
| 3735     | 10.0-base                       |
| 3907     | 10.0-base                       |
| 3908     | 10.0-base                       |
| 3909     | 10.0-base                       |
| 3911     | 10.0-base                       |
| 3913     | 10.0-base                       |
| 3914     | 10.0-base                       |
| 3915     | 10.0-base                       |
| 3918     | 10.0-base                       |
| 3919     | 10.0-base                       |
| 3921     | 10.0-base                       |
| 3922     | 10.0-base                       |
| 3924     | 10.0-base                       |
| 3925     | 10.0-base                       |
| 3926     | 10.0-base                       |
| 3927     | 10.0-base                       |
| 3928     | 10.0-base                       |
| 3929     | 10.0-base                       |
| 3930     | 10.0-base                       |
| 3931     | 10.0-base                       |
| 3932     | 10.0-base                       |
| 3933     | 10.0-base                       |
| 3934     | 10.0-base                       |
| 3935     | 10.0-base                       |
| 3936     | 10.0-base                       |
| 3937     | 10.0-base                       |
| 3938     | 10.0-base                       |
| 3939     | 10.0-base                       |
| 3940     | 10.0-base                       |
| 3941     | 10.0-base                       |
| 3942     | 10.0-base                       |
| 3943     | 10.0-base                       |
| 3944     | 10.0-base                       |
| 3945     | 10.0-base                       |
| 3946     | 10.0-base                       |
| 3947     | 10.0-base                       |
| 3948     | 10.0-base                       |
| 3949     | 10.0-base                       |
| 3950     | 10.0-base                       |
| 3951     | 10.0-base                       |
| 3952     | 10.0-base                       |
| 3953     | 10.0-base                       |
| 3954     | 10.0-base                       |
| 3955     | 10.0-base                       |
| 3956     | 10.0-base                       |
| 3957     | 10.0-base                       |
| 3958     | 10.0-base                       |
| 3959     | 10.0-base                       |
| 3960     | 10.0-base                       |
| 3962     | 10.0-base                       |
| 3963     | 10.0-base                       |
| 3964     | 10.0-base                       |
| 3966     | 10.0-base                       |
| 3967     | 10.0-base                       |
| 3968     | 10.0-base                       |
| 3969     | 10.0-base                       |
| 3970     | 10.0-base                       |
| 3971     | 10.0-base                       |
| 3972     | 10.0-base                       |
| 3973     | 10.0-base                       |
| 3974     | 10.0-base                       |
| 3975     | 10.0-base                       |
| 3976     | 10.0-base                       |
| 3977     | 10.0-base                       |
| 3978     | 10.0-base                       |
| 3980     | 10.0-base                       |
| 3981     | 10.0-base                       |
| 3982     | 10.0-base                       |
| 3983     | 10.0-base                       |
| 3448     | 10.0-base-svoj                  |
| 3487     | 10.0-base-svoj                  |
| 3641     | 10.0-base-svoj                  |
| 3642     | 10.0-base-svoj                  |
| 3643     | 10.0-base-svoj                  |
| 3644     | 10.0-base-svoj                  |
| 3646     | 10.0-base-svoj                  |
