MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch,when_timestamp from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+----------------+
| rev  | repository                                        | branch                                | when_timestamp |
|  266 | ~maria-captains/maria/10.1                        | 10.1                                  |      974669266 |
|  267 | ~maria-captains/maria/10.1                        | 10.1                                  |      974681870 |
|  268 | ~maria-captains/maria/10.1                        | 10.1                                  |      974731749 |
|  269 | ~maria-captains/maria/10.1                        | 10.1                                  |      974747333 |
|  270 | ~maria-captains/maria/10.1                        | 10.1                                  |      974788688 |
|  271 | ~maria-captains/maria/10.1                        | 10.1                                  |      974788863 |
|  272 | ~maria-captains/maria/10.1                        | 10.1                                  |      974789808 |
|  273 | ~maria-captains/maria/10.1                        | 10.1                                  |      974824211 |
|  274 | ~maria-captains/maria/10.1                        | 10.1                                  |      974826089 |
|  275 | ~maria-captains/maria/10.1                        | 10.1                                  |      974850089 |
|  276 | ~maria-captains/maria/10.1                        | 10.1                                  |      974857550 |
|  277 | ~maria-captains/maria/10.1                        | 10.1                                  |      974859894 |
|  278 | ~maria-captains/maria/10.1                        | 10.1                                  |      974877878 |
|  279 | ~maria-captains/maria/10.1                        | 10.1                                  |      974907700 |
|  280 | ~maria-captains/maria/10.1                        | 10.1                                  |      974913472 |
|  281 | ~maria-captains/maria/10.1                        | 10.1                                  |      975047100 |
|  282 | ~maria-captains/maria/10.1                        | 10.1                                  |      975049288 |
|  283 | ~maria-captains/maria/10.1                        | 10.1                                  |      975069478 |
|  284 | ~maria-captains/maria/10.1                        | 10.1                                  |      975132611 |
|  285 | ~maria-captains/maria/10.1                        | 10.1                                  |      975134482 |
|  286 | ~maria-captains/maria/10.1                        | 10.1                                  |      975136198 |
|  287 | ~maria-captains/maria/10.1                        | 10.1                                  |      975138195 |
|  288 | ~maria-captains/maria/10.1                        | 10.1                                  |      975147243 |
|  289 | ~maria-captains/maria/10.1                        | 10.1                                  |      975285881 |
|  290 | ~maria-captains/maria/10.1                        | 10.1                                  |      975335187 |
|  291 | ~maria-captains/maria/10.1                        | 10.1                                  |      975336008 |
|  292 | ~maria-captains/maria/10.1                        | 10.1                                  |      975348785 |
|  293 | ~maria-captains/maria/10.1                        | 10.1                                  |      975391726 |
|  294 | ~maria-captains/maria/10.1                        | 10.1                                  |      975391849 |
|  295 | ~maria-captains/maria/10.1                        | 10.1                                  |      975407447 |
|  296 | ~maria-captains/maria/10.1                        | 10.1                                  |      975407697 |
|  297 | ~maria-captains/maria/10.1                        | 10.1                                  |      975433567 |
|  298 | ~maria-captains/maria/10.1                        | 10.1                                  |      975437219 |
|  299 | ~maria-captains/maria/10.1                        | 10.1                                  |      975445186 |
|  300 | ~maria-captains/maria/10.1                        | 10.1                                  |      975467368 |
|  301 | ~maria-captains/maria/10.1                        | 10.1                                  |      975467403 |
|  302 | ~maria-captains/maria/10.1                        | 10.1                                  |      975476014 |
|  303 | ~maria-captains/maria/10.1                        | 10.1                                  |      975504604 |
|  304 | ~maria-captains/maria/10.1                        | 10.1                                  |      975529308 |
|  305 | ~maria-captains/maria/10.1                        | 10.1                                  |      975540261 |
|  306 | ~maria-captains/maria/10.1                        | 10.1                                  |      975540370 |
|  307 | ~maria-captains/maria/10.1                        | 10.1                                  |      975540811 |
|  308 | ~maria-captains/maria/10.1                        | 10.1                                  |      975541093 |
|  309 | ~maria-captains/maria/10.1                        | 10.1                                  |      975548815 |
|  310 | ~maria-captains/maria/10.1                        | 10.1                                  |      975565233 |
|  311 | ~maria-captains/maria/10.1                        | 10.1                                  |      975565770 |
|  312 | ~maria-captains/maria/10.1                        | 10.1                                  |      975594727 |
|  313 | ~maria-captains/maria/10.1                        | 10.1                                  |      975605221 |
|  314 | ~maria-captains/maria/10.1                        | 10.1                                  |      975673615 |
|  315 | ~maria-captains/maria/10.1                        | 10.1                                  |      975782959 |
|  316 | ~maria-captains/maria/10.1                        | 10.1                                  |      975790857 |
|  317 | ~maria-captains/maria/10.1                        | 10.1                                  |      975790926 |
|  318 | ~maria-captains/maria/10.1                        | 10.1                                  |      975840987 |
|  319 | ~maria-captains/maria/10.1                        | 10.1                                  |      975978031 |
|  320 | ~maria-captains/maria/10.1                        | 10.1                                  |      975978182 |
|  321 | ~maria-captains/maria/10.1                        | 10.1                                  |      975978783 |
|  322 | ~maria-captains/maria/10.1                        | 10.1                                  |      976010573 |
|  323 | ~maria-captains/maria/10.1                        | 10.1                                  |      976019916 |
|  324 | ~maria-captains/maria/10.1                        | 10.1                                  |      976056112 |
|  325 | ~maria-captains/maria/10.1                        | 10.1                                  |      976060517 |
|  326 | ~maria-captains/maria/10.1                        | 10.1                                  |      976127633 |
|  327 | ~maria-captains/maria/10.1                        | 10.1                                  |      976142383 |
|  328 | ~maria-captains/maria/10.1                        | 10.1                                  |      976142822 |
|  329 | ~maria-captains/maria/10.1                        | 10.1                                  |      976145417 |
|  330 | ~maria-captains/maria/10.1                        | 10.1                                  |      976151364 |
|  331 | ~maria-captains/maria/10.1                        | 10.1                                  |      976192687 |
|  332 | ~maria-captains/maria/10.1                        | 10.1                                  |      976194132 |
|  333 | ~maria-captains/maria/10.1                        | 10.1                                  |      976195620 |
|  334 | ~maria-captains/maria/10.1                        | 10.1                                  |      976197478 |
|  335 | ~maria-captains/maria/10.1                        | 10.1                                  |      976198381 |
|  336 | ~maria-captains/maria/10.1                        | 10.1                                  |      976201830 |
|  337 | ~maria-captains/maria/10.1                        | 10.1                                  |      976202658 |
|  338 | ~maria-captains/maria/10.1                        | 10.1                                  |      976203526 |
|  339 | ~maria-captains/maria/10.1                        | 10.1                                  |      976209268 |
|  340 | ~maria-captains/maria/10.1                        | 10.1                                  |      976209302 |
|  341 | ~maria-captains/maria/10.1                        | 10.1                                  |      976209797 |
|  342 | ~maria-captains/maria/10.1                        | 10.1                                  |      976210237 |
|  343 | ~maria-captains/maria/10.1                        | 10.1                                  |      976214422 |
|  344 | ~maria-captains/maria/10.1                        | 10.1                                  |      976228456 |
|  345 | ~maria-captains/maria/10.1                        | 10.1                                  |      976251215 |
|  346 | ~maria-captains/maria/10.1                        | 10.1                                  |      976277888 |
|  347 | ~maria-captains/maria/10.1                        | 10.1                                  |      976278954 |
|  348 | ~maria-captains/maria/10.1                        | 10.1                                  |      976280448 |
|  349 | ~maria-captains/maria/10.1                        | 10.1                                  |      976281945 |
|  350 | ~maria-captains/maria/10.1                        | 10.1                                  |      976284705 |
|  351 | ~maria-captains/maria/10.1                        | 10.1                                  |      976293577 |
|  352 | ~maria-captains/maria/10.1                        | 10.1                                  |      976305057 |
