MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
|  245 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  246 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  247 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  248 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  249 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  250 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  251 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  252 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  253 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  254 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  255 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  256 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  257 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  258 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  259 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  260 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  261 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  262 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  263 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  264 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  265 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  266 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  267 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  268 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  269 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  270 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  271 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  272 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  273 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  274 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  275 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  276 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  277 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  278 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  279 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  280 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  281 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  282 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  283 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  284 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  285 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  286 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  287 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  288 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  289 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  290 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  291 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  292 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  293 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  294 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  295 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  296 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  297 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  298 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  299 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  300 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  301 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  302 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  303 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  304 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  305 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  306 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  307 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  308 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  309 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  310 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  311 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  312 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  313 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  314 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  315 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  316 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  317 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  318 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  319 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  320 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  321 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  322 | ~maria-captains/maria/10.1                        | 10.1                                  |
